tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
KO.KO9.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;2;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO9.Z3;Задвижка Z3;INT (1 byte);W;ANY;27;8;;, , , , , , Single
KO.KO9.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;2;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO9.Z4;Задвижка Z4;INT (1 byte);W;ANY;28;8;;, , , , , , Single
KO.KO11.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;3;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO11.Z3;Задвижка Z3;INT (1 byte);W;ANY;39;8;;, , , , , , Single
KO.KO11.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;3;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO11.Z4;Задвижка Z4;INT (1 byte);W;ANY;40;8;;, , , , , , Single
KO.KO9.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;8;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO9.Z5;Задвижка Z5;INT (1 byte);W;ANY;29;8;;, , , , , , Single
KO.KO10.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;8;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO10.Z5;Задвижка Z5;INT (1 byte);W;ANY;34;8;;, , , , , , Single
KO.KO11.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;9;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO11.Z5;Задвижка Z5;INT (1 byte);W;ANY;41;8;;, , , , , , Single
KO.KO12.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;9;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO12.Z5;Задвижка Z5;INT (1 byte);W;ANY;46;8;;, , , , , , Single
KO.KO10.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;10;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO10.Z3;Задвижка Z3;INT (1 byte);W;ANY;32;8;;, , , , , , Single
KO.KO10.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;10;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
