tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
3P1.ADC1.AI_1;давл Н К1;FLOAT (4 bytes);R;ИНР;0;0;;1, 0, , 0, 100, , 
3P1.P1_800;Давление ХБК;FLOAT (4 bytes);R;ИНР;0;0;;0.1, 0, , 0, 10, , 
3P1.ADC1.AI_2;расход К1;FLOAT (4 bytes);R;ИНР;0;4;;1, 0, , 0, 100, , 
3P1.E1_800;Расход   ХБК;FLOAT (4 bytes);R;ИНР;0;4;;40, 0, , 0, 4000, , 
3P1.ADC1.AI_3;давл Н К2;FLOAT (4 bytes);R;ИНР;0;8;;1, 0, , 0, 100, , 
3P1.P2_800;Давление город;FLOAT (4 bytes);R;ИНР;0;8;;0.1, 0, , 0, 10, , 
3P1.ADC1.AI_4;расход К2;FLOAT (4 bytes);R;ИНР;0;12;;1, 0, , 0, 100, , 
3P1.E2_800;Расход город;FLOAT (4 bytes);R;ИНР;0;12;;40, 0, , 0, 4000, , 
3P1.ADC1.AI_5;Уровень РЧВ;FLOAT (4 bytes);R;ИНР;0;16;;1, 0, , 0, 100, , 
3P1.RCV;Уровень РЧВ;FLOAT (4 bytes);R;ИНР;0;16;;6, 0, , 0, 600, , 
3P1.ADC1.AI_6;давл В К1;FLOAT (4 bytes);R;ИНР;0;20;;0.04, 0, , 0, 4, , 
3P1.ADC1.AI_7;давл В К2;FLOAT (4 bytes);R;ИНР;0;24;;0.04, 0, , 0, 4, , 
3P1.P3_900;Давление от ОВС;FLOAT (4 bytes);R;ИНР;0;24;;0.04, 0, , 0, 4, , 
3P1.NA1.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
3P1.NA2.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
3P1.NA3.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
