tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
ctp7.MP_DI8;Резерв;BOOL (1 bit);R;ИНР;1;60;&h01;, , , , , , 
ctp7.MP_DI9;РКФ1;BOOL (1 bit);R;ИНР;1;64;&h01;, , , , , , 
ctp7.MP_DI10;РКФ2;BOOL (1 bit);R;ИНР;1;68;&h01;, , , , , , 
ctp7.MP_DI11;Охрана;BOOL (1 bit);R;ИНР;1;72;&h01;, , , , , , 
ctp7.MP_DI12;Пожар;BOOL (1 bit);R;ИНР;1;76;&h01;, , , , , , 
ctp7.MP_DI13;Резерв;BOOL (1 bit);R;ИНР;1;80;&h01;, , , , , , 
ctp7.MP_DI14;Резерв;BOOL (1 bit);R;ИНР;1;84;&h01;, , , , , , 
ctp7.MP_DI15;Резерв;BOOL (1 bit);R;ИНР;1;88;&h01;, , , , , , 
ctp7.MP_DI16;Резерв;BOOL (1 bit);R;ИНР;1;92;&h01;, , , , , , 
ctp7.MPp_AI7;Темп машзал -40+80;FLOAT (4 bytes);R;ИНР;1;96;;1, 0, , 0, 100, , 
ctp7.Timer;Таймер/календарь;date;R;TIME;;0;;, , , , , , 
ctp7.Timer;Таймер/календарь;date;W;TIME;;0;;, , , , , , 
ctp7.N1(HH);Мото/час за текущий час;INT (4 bytes);R;ИНР;2;0;;1, 0, , , , , 
ctp7.N1(HH-1);Мото/час за прошедший час;INT (4 bytes);R;ИНР;2;4;;1, 0, , , , , 
ctp7.N1(DD);Мото/час за текущие сутки;INT (4 bytes);R;ИНР;2;8;;1, 0, , , , , 
ctp7.N1(DD-1);Мото/час за прошедшие сутки;INT (4 bytes);R;ИНР;2;12;;1, 0, , , , , 
ctp7.N1(MM);Мото/час за текущий мес.;INT (4 bytes);R;ИНР;2;16;;1, 0, , , , , 
ctp7.N1(MM-1);Мото/час за прошедший мес.;INT (4 bytes);R;ИНР;2;20;;1, 0, , , , , 
ctp7.N1(YY);Мото/час за текущий год;INT (4 bytes);R;ИНР;2;24;;1, 0, , , , , 
ctp7.N1(YY-1);Мото/час за прошедший год;INT (4 bytes);R;ИНР;2;28;;1, 0, , , , , 
ctp7.N2(HH);Мото/час за текущий час;INT (4 bytes);R;ИНР;2;32;;1, 0, , , , , 
ctp7.N2(HH-1);Мото/час за прошедший час;INT (4 bytes);R;ИНР;2;36;;1, 0, , , , , 
ctp7.N2(DD);Мото/час за текущие сутки;INT (4 bytes);R;ИНР;2;40;;1, 0, , , , , 
