tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
KO.KO1.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;0;;, , , , , , 
KO.KO2.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;4;;, , , , , , 
KO.KO3.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;8;;, , , , , , 
KO.KO4.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;12;;, , , , , , 
KO.KO5.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;16;;, , , , , , 
KO.KO6.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;20;;, , , , , , 
KO.KO7.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;24;;, , , , , , 
KO.KO8.E1;код Расход;FLOAT (4 bytes);R;ИНР;0;28;;, , , , , , 
KO.RZ.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;36;;, , , -1, 100, , 
KO.Energy.U1;напряжение на секции 1;FLOAT (4 bytes);R;ИНР;0;40;;0.004, 0, , 0, 0.4, 0, 
KO.KO1.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;64;;, , , -1, 100, , 
KO.KO1.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;68;;, , , -1, 100, , 
KO.KO1.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;72;;, , , -1, 100, , 
KO.KO2.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;76;;, , , -1, 100, , 
KO.KO2.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;80;;, , , -1, 100, , 
KO.KO2.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;84;;, , , -1, 100, , 
KO.KO3.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;88;;, , , -1, 100, , 
KO.KO3.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;92;;, , , -1, 100, , 
KO.KO3.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;96;;, , , -1, 100, , 
KO.KO4.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;100;;, , , -1, 100, , 
KO.KO4.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;104;;, , , -1, 100, , 
KO.KO4.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;108;;, , , -1, 100, , 
KO.KO5.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;112;;, , , -1, 100, , 
KO.KO5.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;116;;, , , -1, 100, , 
KO.KO5.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;120;;, , , -1, 100, , 
KO.KO6.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;124;;, , , -1, 100, , 
KO.KO6.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;128;;, , , -1, 100, , 
KO.KO6.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;132;;, , , -1, 100, , 
KO.KO7.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;136;;, , , -1, 100, , 
KO.KO7.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;140;;, , , -1, 100, , 
KO.KO7.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;144;;, , , -1, 100, , 
KO.KO8.Z1.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;148;;, , , -1, 100, , 
KO.KO8.Z4.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;152;;, , , -1, 100, , 
KO.KO8.Z5.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;156;;, , , -1, 100, , 
KO.KO1.L;Уровень;FLOAT (4 bytes);R;ИНР;0;160;;5, 0, , -1, 500, 0, 
KO.KO2.L;Уровень;FLOAT (4 bytes);R;ИНР;0;164;;5, 0, , -1, 500, 0, 
KO.KO3.L;Уровень;FLOAT (4 bytes);R;ИНР;0;168;;5, 0, , -1, 500, 0, 
KO.KO4.L;Уровень;FLOAT (4 bytes);R;ИНР;0;172;;5, 0, , -1, 500, 0, 
KO.KO5.L;Уровень;FLOAT (4 bytes);R;ИНР;0;176;;5, 0, , -1, 500, 0, 
KO.KO6.L;Уровень;FLOAT (4 bytes);R;ИНР;0;180;;5, 0, , -1, 500, 0, 
KO.KO7.L;Уровень;FLOAT (4 bytes);R;ИНР;0;184;;5, 0, , -1, 500, 0, 
KO.KO8.L;Уровень;FLOAT (4 bytes);R;ИНР;0;188;;5, 0, , -1, 500, 0, 
KO.RPV;Уровень РПВ;FLOAT (4 bytes);R;ИНР;0;224;;6, 0, , -1, 500, 0, 
KO.KO1.Z1;Задвижка Z1;INT (1 byte);R;ИНР;1;0;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO1.Z1;Задвижка Z1;INT (1 byte);W;ANY;25;8;;, , , , , , Single
KO.KO1.Z2;Задвижка Z2;INT (1 byte);R;ИНР;1;0;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO1.Z2;Задвижка Z2;INT (1 byte);W;ANY;26;8;;, , , , , , Single
KO.KO3.Z1;Задвижка Z1;INT (1 byte);R;ИНР;1;1;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO3.Z1;Задвижка Z1;INT (1 byte);W;ANY;37;8;;, , , , , , Single
KO.KO3.Z2;Задвижка Z2;INT (1 byte);R;ИНР;1;1;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO3.Z2;Задвижка Z2;INT (1 byte);W;ANY;38;8;;, , , , , , Single
KO.KO1.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;2;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO1.Z3;Задвижка Z3;INT (1 byte);W;ANY;27;8;;, , , , , , Single
KO.KO1.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;2;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO1.Z4;Задвижка Z4;INT (1 byte);W;ANY;28;8;;, , , , , , Single
KO.KO3.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;3;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO3.Z3;Задвижка Z3;INT (1 byte);W;ANY;39;8;;, , , , , , Single
KO.KO3.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;3;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO3.Z4;Задвижка Z4;INT (1 byte);W;ANY;40;8;;, , , , , , Single
KO.KO1.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;8;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO1.Z5;Задвижка Z5;INT (1 byte);W;ANY;29;8;;, , , , , , Single
KO.KO2.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;8;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO2.Z5;Задвижка Z5;INT (1 byte);W;ANY;34;8;;, , , , , , Single
