tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
mkBG.NA7_r;NA7 режим Авт;BOOL (1 bit);R;ИНР;0;128;&h40;, , , , , , 
mkBG.NA8_r;NA8 режим Авт;BOOL (1 bit);R;ИНР;0;128;&h80;, , , , , , 
mkBG.NA9_r;NA9 режим Авт;BOOL (1 bit);R;ИНР;0;129;&h01;, , , , , , 
mkBG.NA10_r;NA10 режим Авт;BOOL (1 bit);R;ИНР;0;129;&h02;, , , , , , 
mkBG.NA1_a;NA1 авария;BOOL (1 bit);R;ИНР;0;132;&h01;, , , , , , 
mkBG.NA2_a;NA2 авария;BOOL (1 bit);R;ИНР;0;132;&h02;, , , , , , 
mkBG.NA3_a;NA3 авария;BOOL (1 bit);R;ИНР;0;132;&h04;, , , , , , 
mkBG.NA4_a;NA4 авария;BOOL (1 bit);R;ИНР;0;132;&h08;, , , , , , 
mkBG.NA5_a;NA5 авария;BOOL (1 bit);R;ИНР;0;132;&h10;, , , , , , 
mkBG.NA6_a;NA6 авария;BOOL (1 bit);R;ИНР;0;132;&h20;, , , , , , 
mkBG.NA7_a;NA7 авария;BOOL (1 bit);R;ИНР;0;132;&h40;, , , , , , 
mkBG.NA8_a;NA8 авария;BOOL (1 bit);R;ИНР;0;132;&h80;, , , , , , 
mkBG.NA9_a;NA9 авария;BOOL (1 bit);R;ИНР;0;133;&h01;, , , , , , 
mkBG.NA10_a;NA10 авария;BOOL (1 bit);R;ИНР;0;133;&h02;, , , , , , 
mkBG.UPP1_a;УПП1 авария;BOOL (1 bit);R;ИНР;0;133;&h04;, , , , , , 
mkBG.PCH1_a;ПЧ1 авария;BOOL (1 bit);R;ИНР;0;133;&h08;, , , , , , 
mkBG.UPP2_a;УПП2 авария;BOOL (1 bit);R;ИНР;0;133;&h10;, , , , , , 
mkBG.PCH2_a;ПЧ2 авария;BOOL (1 bit);R;ИНР;0;133;&h20;, , , , , , 
mkBG.H1_o;Задв H1 откр;BOOL (1 bit);R;ИНР;0;136;&h01;, , , , , , 
mkBG.H2_o;Задв H2 откр;BOOL (1 bit);R;ИНР;0;136;&h02;, , , , , , 
mkBG.H3_o;Задв H3 откр;BOOL (1 bit);R;ИНР;0;136;&h04;, , , , , , 
