tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
MKF.Wash.NA2.H.Pos;Положение %;FLOAT (4 bytes);R;ИНР;0;252;0.5;, , , , , , 
MKF.MKF1-3.LmaxIn;Перелив прием. кам.;BOOL (1 bit);R;ИНР;1;8;&h10;, , , , , , 
MKF.MKF1-3.LmaxOut1;Перелив1 отх. кам.;BOOL (1 bit);R;ИНР;1;8;&h40;, , , , , , 
MKF.MKF1-3.LmaxOut2;Перелив2 отх. кам.;BOOL (1 bit);R;ИНР;1;8;&h80;, , , , , , 
MKF.MKF4-9.LmaxIn;Перелив прием. кам.;BOOL (1 bit);R;ИНР;1;8;&h20;, , , , , , 
MKF.Flame1;пожар1;BOOL (1 bit);R;ИНР;1;9;&h01;, , , , , , 
MKF.Alarm1;охрана1;BOOL (1 bit);R;ИНР;1;9;&h02;, , , , , , 
MKF.MKF1.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;10;&h01;, , , , , , 
MKF.MKF2.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;10;&h02;, , , , , , 
MKF.MKF3.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;10;&h04;, , , , , , 
MKF.MKF4.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;10;&h08;, , , , , , 
MKF.MKF5.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;10;&h10;, , , , , , 
MKF.MKF6.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;10;&h20;, , , , , , 
MKF.MKF7.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;10;&h40;, , , , , , 
MKF.MKF8.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;10;&h80;, , , , , , 
MKF.MKF9.LS;Рабочий уровень;BOOL (1 bit);R;ИНР;1;11;&h01;, , , , , , 
MKF.Wash.NA1.B;Всасывающая задвижка;INT (1 byte);R;ИНР;1;16;&h00,3, &h08,2, &h20,1, &h28, 0;, , , , , , 
MKF.Wash.NA1.B.Motor;Привод;INT (1 byte);R;ИНР;1;16;&h00,0, &h10,1, &h40,2, &h50, 3;, , , , , , 
MKF.Wash.NA2.B;Всасывающая задвижка;INT (1 byte);R;ИНР;1;17;&h00,3, &h08,2, &h20,1, &h28, 0;, , , , , , 
MKF.Wash.NA2.B.Motor;Привод;INT (1 byte);R;ИНР;1;17;&h00,0, &h10,1, &h40,2, &h50, 3;, , , , , , 
MKF.Energy.US1;Питание секции 1;BOOL (1 bit);R;ИНР;1;24;&h01;, , , , , , 
MKF.Energy.US2;Питание секции 2;BOOL (1 bit);R;ИНР;1;24;&h02;, , , , , , 
MKF.Energy.AVR1;Авр1;BOOL (1 bit);R;ИНР;1;24;&h04;, , , , , , 
MKF.Energy.AVR2;Авр2;BOOL (1 bit);R;ИНР;1;24;&h08;, , , , , , 
MKF.Flame2;пожар2;BOOL (1 bit);R;ИНР;1;56;&h10;, , , , , , 
MKF.Alarm2;охрана2;BOOL (1 bit);R;ИНР;1;56;&h20;, , , , , , 
MKF.MKF1-3.PF1;Задвижка ПФ1;INT (1 byte);R;ИНР;1;64;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
